월별,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년
1월,"553,754","486,179","351,152","317,642","459,655","230,270","385,288","287,907","373,994","400,605","318,548","282,656","201,160","225,784","253,258","78,051","183,768"
2월,"342,668","379,180","254,607","352,566","480,856","361,380","359,240","307,527","388,968","348,964","315,851","303,748","240,383","298,549","108,880","200,975","192,144"
3월,"299,503","321,526","406,897","344,163","334,197","359,970","342,585","539,638","626,918","620,896","443,832","410,733","413,211","387,320","185,588","194,718","223,928"
4월,"790,367","907,908","815,625","818,152","836,519","721,732","787,507","719,041","668,037","726,160","783,456","800,221","680,453","740,205","245,360","394,001","662,155"
5월,"1,107,552","1,095,161","1,079,913","1,019,541","1,094,346","897,691","1,017,937","1,047,177","711,933","1,003,380","873,374","843,380","812,780","820,449","338,802","437,831","716,827"
6월,"839,118","863,021","573,059","561,139","542,434","571,366","623,753","676,738","603,098","356,697","589,785","521,076","579,424","610,469","216,611","354,589","447,867"
7월,"811,560","514,102","449,962","541,072","484,069","407,803","442,644","487,917","597,977","519,082","552,299","392,699","438,252","446,413","241,579","153,864","443,299"
8월,"1,321,973","608,419","654,886","639,568","498,533","624,031","479,428","724,799","778,129","789,834","610,517","573,321","505,828","600,191","154,805","261,840","451,578"
9월,"639,112","415,343","479,640","334,144","499,090","582,176","580,427","662,773","696,643","738,909","695,077","613,539","669,878","587,356","204,543","361,221","649,782"
10월,"817,086","791,839","794,163","501,024","899,290","967,574","891,611","945,571","974,638","954,800","911,821","915,820","838,744","998,745","507,652","627,499","1,052,398"
11월,"390,660","372,306","391,319","204,353","395,470","451,598","433,471","471,659","534,438","476,138","456,048","358,360","445,918","510,207","229,558","386,793","476,863"
12월,"483,157","454,319","333,631","412,821","359,850","394,603","315,075","431,989","426,705","487,473","414,703","297,502","319,065","380,126","67,919","254,427","273,225"
인원계,"8,396,510","7,209,303","6,584,854","6,046,185","6,884,309","6,570,194","6,658,966","7,302,736","7,381,478","7,422,938","6,965,311","6,313,055","6,145,096","6,605,814","2,754,555","3,705,809","5,773,834"
